,Entity_EU_ReferenceNumber,Entity_SubjectType_ClassificationCode,NameAlias_WholeName,Address_City,Address_CountryDescription
0,EU.27.28,person,Saddam Hussein Al-Tikriti,,
1,EU.27.28,person,Abu Ali,,
2,EU.27.28,person,Abou Ali,,
3,EU.27.28,person,,,
4,EU.27.28,person,,,
5,EU.39.56,person,Qusay Saddam Hussein Al-Tikriti,,
6,EU.39.56,person,Qoussaï Saddam Hussein Al-Tikriti,,
7,EU.39.56,person,,,
8,EU.39.56,person,,,
9,EU.39.56,person,,,
10,EU.16.62,person,Uday Saddam Hussein Al-Tikriti,,
11,EU.16.62,person,Oudaï Saddam Hussein Al-Tikriti,,
12,EU.16.62,person,,,
13,EU.16.62,person,,,
14,EU.16.62,person,,,
15,EU.11.43,person,Abid Hamid Mahmud Al-Tikriti,,
16,EU.11.43,person,Abid Hamid Bid Hamid Mahmud,,
17,EU.11.43,person,Abdel Hamid Mahmoud,,
18,EU.11.43,person,Abed Mahmoud Hammud,,
19,EU.11.43,person,Abid Hamid Mahmoud Al-Tikriti,,
20,EU.11.43,person,Abid Hamid Bid Hamid Mahmoud,,
21,EU.11.43,person,Abed Mahmoud Hammoud,,
22,EU.11.43,person,,,
23,EU.11.43,person,,,
24,EU.22.9,person,Ali Hassan Al-Majid Al-Tikriti,,
25,EU.22.9,person,Al-Kimawi,,
26,EU.22.9,person,,,
27,EU.22.9,person,,,
28,EU.22.9,person,,,
29,EU.42.11,person,Izzat Ibrahim al-Duri,,
30,EU.42.11,person,Abu Brays,,
31,EU.42.11,person,Abu Ahmad,,
32,EU.42.11,person,Izzat Ibrahim al-Duri,,
33,EU.42.11,person,Izzat Ibrahim al-Duri,,
34,EU.42.11,person,Abu Brays,,
35,EU.42.11,person,Abu Brays,,
36,EU.42.11,person,Abu Ahmad,,
37,EU.42.11,person,Abu Ahmad,,
38,EU.42.11,person,Izzat Ibrahim Al-Duri,,
39,EU.42.11,person,Izzat Ibrahim al-Douri,,
40,EU.42.11,person,,,
41,EU.42.11,person,,,
42,EU.42.11,person,,,
43,EU.35.2,person,Hani Abd-Al-Latif Tilfah Al-Tikriti,,
44,EU.35.2,person,Hani Abdel-Latif Tilfah Al-Tikriti,,
45,EU.35.2,person,,,
46,EU.35.2,person,,,
47,EU.106.12,person,Muhammad Hamza Zubaidi,,
48,EU.106.12,person,Mohammed Hamza Zoubaïdi,,
49,EU.106.12,person,,,
50,EU.106.12,person,,,
51,EU.106.12,person,,,
52,EU.19.54,person,Barzan Abd al-Ghafur Sulaiman Majid Al-Tikriti,,
53,EU.19.54,person,Barzan Razuki Abd al-Ghafur,,
54,EU.19.54,person,Barzan Razuki Abd Al-Ghafur,,
55,EU.19.54,person,Barzan Abdel Ghafour Souleiman Majid Al-Tikriti,,
56,EU.19.54,person,Barzan Razuki Abdel Ghafour,,
57,EU.19.54,person,,,
58,EU.19.54,person,,,
59,EU.19.54,person,,,
60,EU.19.54,person,,,
61,EU.20.79,person,Muzahim Sa'b Hassan Al-Tikriti,,
62,EU.20.79,person,Muzahim Sa'b Hassan Al-Tikriti,,
63,EU.20.79,person,Muzahem Saab Hassan Al-Tikriti,,
64,EU.20.79,person,,,
65,EU.20.79,person,,,
66,EU.20.79,person,,,
67,EU.20.79,person,,,
68,EU.20.79,person,,,
69,EU.20.79,person,,,
70,EU.20.79,person,,,
71,EU.20.79,person,,,
72,EU.165.92,person,Ibrahim Ahmad Abd al-Sattar Muhammed Al-Tikriti,,
73,EU.165.92,person,Ibrahim Ahmed Abdel Sattar Mohammed Al-Tikriti,,
74,EU.165.92,person,,,
75,EU.165.92,person,,,
76,EU.165.92,person,,,
77,EU.45.3,person,Saif-al-Din Fulayyih Hassan Taha Al-Rawi,,
78,EU.45.3,person,Ayad Futayyih Al-Rawi,,
79,EU.45.3,person,Saïf-al-Din Foulaï Hassan Taha Al-Raoui,,
80,EU.45.3,person,Ayad Foutaï Al-Raoui,,
81,EU.45.3,person,,,
82,EU.45.3,person,,,
83,EU.52.12,person,Rafi Abd-al-Latif Tilfah Al-Tikriti,,
84,EU.52.12,person,Rafi Abdel Latif Tilfa Al-Tikriti,,
85,EU.52.12,person,,,
86,EU.52.12,person,,,
87,EU.120.33,person,Tahir Jalil Habbush Al-Tikriti,,
88,EU.120.33,person,Tahir Jalil Habbush Al-Tikriti,,
89,EU.120.33,person,Tahir Jalil Habbouch Al-Tikriti,,
90,EU.120.33,person,,,
91,EU.120.33,person,,,
92,EU.146.66,person,Hamid Raja Shalah Al-Tikriti,,
93,EU.146.66,person,Hassan Al-Tikriti,,
94,EU.146.66,person,Hamid Raja-Shalah Hassum Al-Tikriti,,
95,EU.146.66,person,Hamid Raja Chala Al-Tikriti,,
96,EU.146.66,person,Hamid Raja-Chala Hassoum Al-Tikriti,,
97,EU.146.66,person,,,
98,EU.146.66,person,,,
99,EU.146.66,person,,,
100,EU.146.66,person,,,
101,EU.148.68,person,Abd-al-Tawwab Mullah Huwaysh,,
102,EU.148.68,person,Abd-al-Tawwab Mullah Huwaysh,,
103,EU.148.68,person,Abdel-Taouab Moullah Houwaïch,,
104,EU.148.68,person,,,
105,EU.148.68,person,,,
106,EU.148.68,person,,,
107,EU.148.68,person,,,
108,EU.148.68,person,,,
109,EU.157.32,person,Taha Yassin Ramadan Al-Jizrawi,,
110,EU.157.32,person,Taha Yassine Ramadan Al-Jizraoui,,
111,EU.157.32,person,,,
112,EU.157.32,person,,,
113,EU.133.1,person,Jamal Mustafa Abdallah Sultan Al-Tikriti,,
114,EU.133.1,person,Jamal Mustafa Abdallah Sultan al-Tikriti,,
115,EU.133.1,person,Jamal Moustafa Abdallah Soultan Al-Tikriti,,
116,EU.133.1,person,,,
117,EU.133.1,person,,,
118,EU.69.59,person,Mizban Khadr Hadi,,
119,EU.69.59,person,,,
120,EU.69.59,person,,,
121,EU.69.59,person,,,
122,EU.71.49,person,Taha Muhyi-al-Din Ma'ruf,,
123,EU.71.49,person,Taha Mouhi-al-Din Marouf,,
124,EU.71.49,person,,,
125,EU.71.49,person,,,
126,EU.71.49,person,,,
127,EU.77.33,person,Tariq Aziz,,
128,EU.77.33,person,Tariq Mikhail Aziz,,
129,EU.77.33,person,Tarek Aziz,,
130,EU.77.33,person,Tarek Mikhail Aziz,,
131,EU.77.33,person,,,
132,EU.77.33,person,,,
133,EU.77.33,person,,,
134,EU.77.33,person,,,
135,EU.88.96,person,Walid Hamid Tawfiq Al-Tikriti,,
136,EU.88.96,person,Walid Hamid Tawfiq al-Nasiri,,
137,EU.88.96,person,Walid Hamid Tawfiq Al-Nasiri,,
138,EU.88.96,person,Walid Hamid Tawfik Al-Tikriti,,
139,EU.88.96,person,Walid Hamid Tawfik al-Nasiri,,
140,EU.88.96,person,,,
141,EU.88.96,person,,,
142,EU.89.61,person,Sultan Hashim Ahmad Al-Ta'i,,
143,EU.89.61,person,Soultan Hachim Ahmed Al-Tai,,
144,EU.89.61,person,,,
145,EU.89.61,person,,,
146,EU.89.61,person,,,
147,EU.97.35,person,Hikmat Mizban Ibrahim al-Azzawi,,
148,EU.97.35,person,Hikmat Mizban Ibrahim al-Azzaoui,,
149,EU.97.35,person,,,
150,EU.97.35,person,,,
151,EU.99.62,person,Ayad Futayyih Khalifa Al-Rawi,,
152,EU.99.62,person,Ayad Futayyih Khalifa Al-Rawi,,
153,EU.99.62,person,,,
154,EU.99.62,person,,,
155,EU.101.7,person,Amir Hamudi Hassan Al-Sa'di,,
156,EU.101.7,person,Amir Hamudi Hassan Al-Sa'di,,
157,EU.101.7,person,Amir Hamudi Hassan Al-Sa'di,,
158,EU.101.7,person,Amir Hamoudi Hassan Al-Sadi,,
159,EU.101.7,person,,,
160,EU.101.7,person,,,
161,EU.101.7,person,,,
162,EU.101.7,person,,,
163,EU.101.7,person,,,
164,EU.59.58,person,Sab'awi Ibrahim Hassan Al-Tikriti,,
165,EU.59.58,person,Sab'awi Ibrahim Hassan Al-Tikriti,,
166,EU.59.58,person,Sab'awi Ibrahim Hassan Al-Tikriti,,
167,EU.59.58,person,Sabaoui Ibrahim Hassan Al-Tikriti,,
168,EU.59.58,person,,,
169,EU.59.58,person,,,
170,EU.62.13,person,Watban Ibrahim Hassan Al-Tikriti,,
171,EU.62.13,person,Watban Ibrahim Hassan Al-Tikriti,,
172,EU.62.13,person,Watab Ibrahim al-Hassan,,
173,EU.62.13,person,Watab Ibrahim al-Hassan,,
174,EU.62.13,person,,,
175,EU.62.13,person,,,
176,EU.63.75,person,Barzan Ibrahim Hassan Al-Tikriti,,
177,EU.63.75,person,Barzan Ibrahim Hassan Al-Tikriti,,
178,EU.63.75,person,Barzan Ibrahim Hassan Al-Tikriti,,
179,EU.63.75,person,,,
180,EU.63.75,person,,,
181,EU.65.5,person,Huda Salih Mahdi Ammash,,
182,EU.65.5,person,Huda Salih Mahdi Ammash,,
183,EU.65.5,person,Huda Salih Mahdi Ammash,,
184,EU.65.5,person,Huda Salih Mahdi Ammash,,
185,EU.65.5,person,Houda Sali Mahdi Ammach,,
186,EU.65.5,person,,,
187,EU.65.5,person,,,
188,EU.169.96,person,Humam Abd-al-Khaliq Abd-al-Ghafur,,
189,EU.169.96,person,Humam Abd-al-Khaliq Abd-al-Ghafur,,
190,EU.169.96,person,Humam Abd-al-Khaliq Abd-al-Ghafur,,
191,EU.169.96,person,Humam 'Abd al-Khaliq 'Abd al-Rahman,,
192,EU.169.96,person,Humam 'Abd al-Khaliq 'Abd al-Rahman,,
193,EU.169.96,person,Humam 'Abd al-Khaliq 'Abd al-Rahman,,
194,EU.169.96,person,Humam 'Abd-al-Khaliq Rashid,,
195,EU.169.96,person,Humam 'Abd-al-Khaliq Rashid,,
196,EU.169.96,person,Humam 'Abd-al-Khaliq Rashid,,
197,EU.169.96,person,Houmam Abdel-Khalik Abdel-Ghafour,,
198,EU.169.96,person,Houmam Abdel-Khalik Abdel-Rahman,,
199,EU.169.96,person,Houmam Abdel-Khalil Rachid,,
200,EU.169.96,person,,,
201,EU.169.96,person,,,
202,EU.169.96,person,,,
203,EU.150.25,person,Yahia Abdallah Al-Ubaidi,,
204,EU.150.25,person,Yahia Abdalla Al-Oubaïdi,,
205,EU.150.25,person,,,
206,EU.153.28,,,,
207,EU.153.28,,,,
208,EU.153.28,,,,
209,EU.153.28,,,,
210,EU.134.2,person,Saif-al-Din Al-Mashhadani,,
211,EU.134.2,person,Saif-al-Din Al-Machhadani,,
212,EU.134.2,person,Saif-al-Din Al-Machhadani,,
213,EU.134.2,person,,,
214,EU.134.2,person,,,
