,Entity_SubjectType_ClassificationCode,NameAlias_WholeName,Address_City,Address_CountryDescription,Address_Street
1,person,Saddam Hussein Al-Tikriti,,,
2,person,Abu Ali,,,
3,person,Abou Ali,,,
4,person,,,,
5,person,,,,
6,person,Qusay Saddam Hussein Al-Tikriti,,,
7,person,Qoussaï Saddam Hussein Al-Tikriti,,,
8,person,,,,
9,person,,,,
10,person,,,,
11,person,Uday Saddam Hussein Al-Tikriti,,,
12,person,Oudaï Saddam Hussein Al-Tikriti,,,
13,person,,,,
14,person,,,,
15,person,,,,
16,person,Abid Hamid Mahmud Al-Tikriti,,,
17,person,Abid Hamid Bid Hamid Mahmud,,,
18,person,Abdel Hamid Mahmoud,,,
19,person,Abed Mahmoud Hammud,,,
20,person,Abid Hamid Mahmoud Al-Tikriti,,,
21,person,Abid Hamid Bid Hamid Mahmoud,,,
22,person,Abed Mahmoud Hammoud,,,
23,person,,,,
24,person,,,,
25,person,Ali Hassan Al-Majid Al-Tikriti,,,
26,person,Al-Kimawi,,,
27,person,,,,
28,person,,,,
29,person,,,,
30,person,Izzat Ibrahim al-Duri,,,
31,person,Abu Brays,,,
32,person,Abu Ahmad,,,
33,person,Izzat Ibrahim al-Duri,,,
34,person,Izzat Ibrahim al-Duri,,,
35,person,Abu Brays,,,
36,person,Abu Brays,,,
37,person,Abu Ahmad,,,
38,person,Abu Ahmad,,,
39,person,Izzat Ibrahim Al-Duri,,,
40,person,Izzat Ibrahim al-Douri,,,
41,person,,,,
42,person,,,,
43,person,,,,
44,person,Hani Abd-Al-Latif Tilfah Al-Tikriti,,,
45,person,Hani Abdel-Latif Tilfah Al-Tikriti,,,
46,person,,,,
47,person,,,,
48,person,Muhammad Hamza Zubaidi,,,
49,person,Mohammed Hamza Zoubaïdi,,,
50,person,,,,
51,person,,,,
52,person,,,,
53,person,Barzan Abd al-Ghafur Sulaiman Majid Al-Tikriti,,,
54,person,Barzan Razuki Abd al-Ghafur,,,
55,person,Barzan Razuki Abd Al-Ghafur,,,
56,person,Barzan Abdel Ghafour Souleiman Majid Al-Tikriti,,,
57,person,Barzan Razuki Abdel Ghafour,,,
58,person,,,,
59,person,,,,
60,person,,,,
61,person,,,,
62,person,Muzahim Sa'b Hassan Al-Tikriti,,,
63,person,Muzahim Sa'b Hassan Al-Tikriti,,,
64,person,Muzahem Saab Hassan Al-Tikriti,,,
65,person,,,,
66,person,,,,
67,person,,,,
68,person,,,,
69,person,,,,
70,person,,,,
71,person,,,,
72,person,,,,
73,person,Ibrahim Ahmad Abd al-Sattar Muhammed Al-Tikriti,,,
74,person,Ibrahim Ahmed Abdel Sattar Mohammed Al-Tikriti,,,
75,person,,,,
76,person,,,,
77,person,,,,
78,person,Saif-al-Din Fulayyih Hassan Taha Al-Rawi,,,
79,person,Ayad Futayyih Al-Rawi,,,
80,person,Saïf-al-Din Foulaï Hassan Taha Al-Raoui,,,
81,person,Ayad Foutaï Al-Raoui,,,
82,person,,,,
83,person,,,,
84,person,Rafi Abd-al-Latif Tilfah Al-Tikriti,,,
85,person,Rafi Abdel Latif Tilfa Al-Tikriti,,,
86,person,,,,
87,person,,,,
88,person,Tahir Jalil Habbush Al-Tikriti,,,
89,person,Tahir Jalil Habbush Al-Tikriti,,,
90,person,Tahir Jalil Habbouch Al-Tikriti,,,
91,person,,,,
92,person,,,,
93,person,Hamid Raja Shalah Al-Tikriti,,,
94,person,Hassan Al-Tikriti,,,
95,person,Hamid Raja-Shalah Hassum Al-Tikriti,,,
96,person,Hamid Raja Chala Al-Tikriti,,,
97,person,Hamid Raja-Chala Hassoum Al-Tikriti,,,
98,person,,,,
99,person,,,,
100,person,,,,
101,person,,,,
102,person,Abd-al-Tawwab Mullah Huwaysh,,,
103,person,Abd-al-Tawwab Mullah Huwaysh,,,
104,person,Abdel-Taouab Moullah Houwaïch,,,
105,person,,,,
106,person,,,,
107,person,,,,
108,person,,,,
109,person,,,,
110,person,Taha Yassin Ramadan Al-Jizrawi,,,
111,person,Taha Yassine Ramadan Al-Jizraoui,,,
112,person,,,,
113,person,,,,
114,person,Jamal Mustafa Abdallah Sultan Al-Tikriti,,,
115,person,Jamal Mustafa Abdallah Sultan al-Tikriti,,,
116,person,Jamal Moustafa Abdallah Soultan Al-Tikriti,,,
117,person,,,,
118,person,,,,
119,person,Mizban Khadr Hadi,,,
120,person,,,,
121,person,,,,
122,person,,,,
123,person,Taha Muhyi-al-Din Ma'ruf,,,
124,person,Taha Mouhi-al-Din Marouf,,,
125,person,,,,
126,person,,,,
127,person,,,,
128,person,Tariq Aziz,,,
129,person,Tariq Mikhail Aziz,,,
130,person,Tarek Aziz,,,
131,person,Tarek Mikhail Aziz,,,
132,person,,,,
133,person,,,,
134,person,,,,
135,person,,,,
136,person,Walid Hamid Tawfiq Al-Tikriti,,,
137,person,Walid Hamid Tawfiq al-Nasiri,,,
138,person,Walid Hamid Tawfiq Al-Nasiri,,,
139,person,Walid Hamid Tawfik Al-Tikriti,,,
140,person,Walid Hamid Tawfik al-Nasiri,,,
141,person,,,,
142,person,,,,
143,person,Sultan Hashim Ahmad Al-Ta'i,,,
144,person,Soultan Hachim Ahmed Al-Tai,,,
145,person,,,,
146,person,,,,
147,person,,,,
148,person,Hikmat Mizban Ibrahim al-Azzawi,,,
149,person,Hikmat Mizban Ibrahim al-Azzaoui,,,
150,person,,,,
151,person,,,,
152,person,Ayad Futayyih Khalifa Al-Rawi,,,
153,person,Ayad Futayyih Khalifa Al-Rawi,,,
154,person,,,,
155,person,,,,
156,person,Amir Hamudi Hassan Al-Sa'di,,,
157,person,Amir Hamudi Hassan Al-Sa'di,,,
158,person,Amir Hamudi Hassan Al-Sa'di,,,
159,person,Amir Hamoudi Hassan Al-Sadi,,,
160,person,,,,
161,person,,,,
162,person,,,,
163,person,,,,
164,person,,,,
165,person,Sab'awi Ibrahim Hassan Al-Tikriti,,,
166,person,Sab'awi Ibrahim Hassan Al-Tikriti,,,
167,person,Sab'awi Ibrahim Hassan Al-Tikriti,,,
168,person,Sabaoui Ibrahim Hassan Al-Tikriti,,,
169,person,,,,
170,person,,,,
171,person,Watban Ibrahim Hassan Al-Tikriti,,,
172,person,Watban Ibrahim Hassan Al-Tikriti,,,
173,person,Watab Ibrahim al-Hassan,,,
174,person,Watab Ibrahim al-Hassan,,,
175,person,,,,
176,person,,,,
177,person,Barzan Ibrahim Hassan Al-Tikriti,,,
178,person,Barzan Ibrahim Hassan Al-Tikriti,,,
179,person,Barzan Ibrahim Hassan Al-Tikriti,,,
180,person,,,,
181,person,,,,
182,person,Huda Salih Mahdi Ammash,,,
183,person,Huda Salih Mahdi Ammash,,,
184,person,Huda Salih Mahdi Ammash,,,
185,person,Huda Salih Mahdi Ammash,,,
186,person,Houda Sali Mahdi Ammach,,,
187,person,,,,
188,person,,,,
189,person,Humam Abd-al-Khaliq Abd-al-Ghafur,,,
190,person,Humam Abd-al-Khaliq Abd-al-Ghafur,,,
191,person,Humam Abd-al-Khaliq Abd-al-Ghafur,,,
192,person,Humam 'Abd al-Khaliq 'Abd al-Rahman,,,
193,person,Humam 'Abd al-Khaliq 'Abd al-Rahman,,,
194,person,Humam 'Abd al-Khaliq 'Abd al-Rahman,,,
195,person,Humam 'Abd-al-Khaliq Rashid,,,
196,person,Humam 'Abd-al-Khaliq Rashid,,,
197,person,Humam 'Abd-al-Khaliq Rashid,,,
198,person,Houmam Abdel-Khalik Abdel-Ghafour,,,
199,person,Houmam Abdel-Khalik Abdel-Rahman,,,
200,person,Houmam Abdel-Khalil Rachid,,,
201,person,,,,
202,person,,,,
203,person,,,,
204,person,Yahia Abdallah Al-Ubaidi,,,
205,person,Yahia Abdalla Al-Oubaïdi,,,
206,person,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,person,Saif-al-Din Al-Mashhadani,,,
212,person,Saif-al-Din Al-Machhadani,,,
213,person,Saif-al-Din Al-Machhadani,,,
214,person,,,,
215,person,,,,
216,person,Fadil Mahmud Gharib,,,
217,person,Fadil Mahmud Gharib,,,
218,person,Gharib Muhammad Fazel al-Mashaikhi,,,
219,person,Gharib Muhammad Fazel al-Mashaikhi,,,
220,person,Fadil Mahmoud Gharib,,,
221,person,Gharib Mohammed Fazel al-Machaikhi,,,
222,person,,,,
223,person,,,,
224,person,Muhsin Khadr Al-Khafaji,,,
225,person,Mouhssin Khadr Al-Khafaji,,,
226,person,,,,
227,person,Rashid Taan Kathim,,,
228,person,Rachid Taan Kazim,,,
229,person,,,,
230,person,Ugla Abid Sakr Al-Zubaisi,,,
231,person,Saqr al-Kabisi Abd Aqala,,,
232,person,Ougla Abid Sakr Al-Koubaïssi,,,
233,person,,,,
234,person,,,,
235,person,Ghazi Hammud Al-Ubaidi,,,
236,person,Ghazi Hammoud Al-Oubaïdi,,,
237,person,,,,
238,person,,,,
239,person,Adil Abdallah Mahdi,,,
240,person,Adil Abdallah Mahdi,,,
241,person,,,,
242,person,,,,
243,person,,,,
244,person,,,,
245,person,Khamis Sirhan Al-Muhammad,,,
246,person,Dr. Fnu Mnu Khamis,,,
247,person,Khamis Sirhan Al-Muhammad,,,
248,person,Khamis Sirhan Al-Muhammad,,,
249,person,,,,
250,person,Sa'd Abd-al-Majid Al-Faisal Al-Tikriti,,,
251,person,Sa'd Abd-al-Majid Al-Faisal Al-Tikriti,,,
252,person,Saad Abdul-Majid Al-Faissal Al-Tikriti,,,
253,person,Sa'd Abd-al-Majid Al-Faisal Al-Tikriti,,,
254,person,,,,
255,person,,,,
256,person,AL-NASSER Abdelkarim Hussein Mohamed,,,
257,person,,,,
258,person,,,,
259,person,AL-YACOUB Ibrahim Salih Mohammed,,,
260,person,,,,
261,person,,,,
262,person,AL-DIN Izz Hasan,,,
263,person,Garbaya Ahmed,,,
264,person,Sa’id,,,
265,person,Salwwan Samir,,,
266,person,,,,
267,person,,,,
268,person,MOHAMMED Khalid Sheikh,,,
269,person,Ali Salem,,,
270,person,Bin Khalid Fahd Bin Abdallah,,,
271,person,Henin Ashraf Refaat Nabith,,,
272,person,Wadood Khalid Abdul,,,
273,person,,,,
274,person,,,,
275,person,,,,
276,enterprise,Abu Nidal Organisation,,,
277,enterprise,ANO,,,
278,enterprise,Fatah Revolutionary Council,,,
279,enterprise,Arab Revolutionary Brigades,,,
280,enterprise,Black September,,,
281,enterprise,Revolutionary Organisation of Socialist Muslims,,,
282,enterprise,Revolutionaire Organisatie van Socialistische Moslims,,,
283,enterprise,Zwarte September,,,
284,enterprise,Arabische Revolutionaire Brigades,,,
285,enterprise,Fatah Revolutionaire Raad,,,
286,enterprise,l-Organizzazzjoni Rivoluzzjonarja tal-Musulmani Sojalisti,,,
287,enterprise,s-Settembru l-Iswed,,,
288,enterprise,l-Brigati Rivoluzzjonarji Garab,,,
289,enterprise,l-Kunsill Rivoluzzjonarju tal-Fatah,,,
290,enterprise,L-Organizzazzjoni Abu Nidal,,,
291,enterprise,Szocialista Muzulmánok Forradalmi Szervezete,,,
292,enterprise,Fekete Szeptember,,,
293,enterprise,Arab Forradalmi Brigádok,,,
294,enterprise,Fatah Forradalmi Tanács,,,
295,enterprise,Abu Nidal Szervezet,,,
296,enterprise,Musulmonų socialistų revoliucinė organizacija,,,
297,enterprise,Juodasis rugsėjis,,,
298,enterprise,Arabų revoliucinės brigados,,,
299,enterprise,Fatah revoliucinė taryba,,,
300,enterprise,Abu Nidal organizacija,,,
301,enterprise,Organizzazione rivoluzionaria dei musulmani socialisti,,,
302,enterprise,Settembre nero,,,
303,enterprise,Brigate rivoluzionarie arabe,,,
304,enterprise,Consiglio rivoluzionario Fatah,,,
305,enterprise,Organizzazione Abu Nidal,,,
306,enterprise,Revolucionarna organizacija socijalističkih muslimana,,,
307,enterprise,Crni rujan,,,
308,enterprise,Arapske revolucionarne brigade,,,
309,enterprise,Revolucionarno vijeće Fataha,,,
310,enterprise,Organizacija Abu Nidal,,,
311,enterprise,Eagraíocht Réabhlóide na Moslamach Sóisialach,,,
312,enterprise,Lucht Mheán Fómhair Dubh,,,
313,enterprise,na Briogáidí Réabhlóideacha Arabacha,,,
314,enterprise,Comhairle Réabhlóide Fatah,,,
315,enterprise,Eagraíocht Abu Nidal,,,
316,enterprise,Organisation révolutionnaire des musulmans socialistes,,,
317,enterprise,Septembre noir,,,
318,enterprise,Brigades révolutionnaires arabes,,,
319,enterprise,Conseil révolutionnaire du Fatah,,,
320,enterprise,Organisation Abou Nidal,,,
321,enterprise,Επαναστατική Οργάνωση Σοσιαλιστών Μουσουλμάνων,,,
322,enterprise,Μαύρος Σεπτέμβρης,,,
323,enterprise,Αραβικές Επαναστατικές Ταξιαρχίες,,,
324,enterprise,Επαναστατικό Συμβούλιο Φατάχ,,,
325,enterprise,Οργάνωση Abu Nidal,,,
326,enterprise,Sotsialistlike Moslemite Revolutsiooniline Organisatsioon,,,
327,enterprise,Must September,,,
