,0
0,SADDAM HUSSEIN AL-TIKRITI
1,ABU ALI
2,ABOU ALI
3,QUSAY SADDAM HUSSEIN AL-TIKRITI
4,QOUSSAÏ SADDAM HUSSEIN AL-TIKRITI
5,UDAY SADDAM HUSSEIN AL-TIKRITI
6,ELDERSA SADDAM HUSSEIN AL-TIKRITI
7,ABID HAMID MAHMUD AL-TIKRITI
8,ABID HAMID BID HAMID MAHMUD
9,ABDEL HAMID MAHMOUD
10,ABED MAHMOUD TEETH
11,ABID HAMID MAHMOUD AL-TIKRITI
12,ABID HAMID BID HAMID MAHMOUD
13,ABED MAHMOUD HAMMOUD
14,ALI HASSAN AL-MAJID AL-TIKRITI
15,AL-KIMAWI
16,IZZAT IBRAHIM AL-DURI
17,ABU BRAYS
18,ABU AHMAD
19,IZZAT IBRAHIM AL-DOURI
20,HANI ABD-AL-LATIF TILFAH AL-TIKRITI
21,HANI ABDEL-LATIF TILFAH AL-TIKRITI
22,MUHAMMAD HAMZA ZUBAIDI
23,MOHAMMED HAMZA ZOUBAÏDI
24,BARZAN ABD AL-GHAFUR SULAIMAN MAJID AL-TIKRITI
25,BARZAN RAZUKI ABD AL-GHAFUR
26,BARZAN ABDEL GHAFOUR SOULEIMAN MAJID AL-TIKRITI
27,BARZAN RAZUKI ABDEL GHAFOUR
28,MUZAHIM SA'B HASSAN AL-TIKRITI
29,MUZAHEM CAN HASSAN AL-TIKRITI
30,IBRAHIM AHMAD ABD AL-SATTAR MUHAMMED AL-TIKRITI
31,IBRAHIM AHMED ABDEL SATTAR MOHAMMED AL-TIKRITI
32,SAIF-AL-DIN FULAYYIH HASSAN TAHA AL-RAWI
33,AYAD FUTAYYIH AL-RAWI
34,SAÏF-AL-DIN FOULAÏ HASSAN TAHA AL-RAOUI
35,AYAD FOUTAÏ AL-RAOUI
36,RAFI ABD-AL-LATIF TILFAH AL-TIKRITI
37,RAFI ABDEL LATIF TILFA AL-TIKRITI
38,TAHIR JALIL HABBUSH AL-TIKRITI
39,TAHIR JALIL HABBOUCH AL-TIKRITI
40,HAMID RAJA SHALAH AL-TIKRITI
41,HASSAN AL-TIKRITI
42,HAMID RAJA-SHALAH HASSUM AL-TIKRITI
43,HAMID RAJA CHALA AL-TIKRITI
44,HAMID RAJA-CHALA HASSOUM AL-TIKRITI
45,ABD-AL-TAWWAB MULLAH HUWAYSH
46,ABDEL-TAOUAB MOULLAH HOUWAÏCH
47,TAHA YASSIN RAMADAN AL-JIZRAWI
48,TAHA YASSINE RAMADAN AL-JIZRAOUI
49,JAMAL MUSTAFA ABDALLAH SULTAN AL-TIKRITI
50,JAMAL MOUSTAFA ABDALLAH SOULTAN AL-TIKRITI
51,MIZBAN KHADR HADI
52,TAHA MUHYI-AL-DIN MA'RUF
53,WANT MOUHI-AL-DIN MAROUF
54,TARIQ AZIZ
55,TARIQ MIKHAIL AZIZ
56,TAREK AZIZ
57,TAREK MIKHAIL AZIZ
58,WALID HAMID TAWFIQ AL-TIKRITI
59,WALID HAMID TAWFIQ AL-NASIRI
60,WALID HAMID TAWFIK AL-TIKRITI
61,WALID HAMID TAWFIK AL-NASIRI
62,SULTAN HASHIM AHMAD AL-TA'I
63,SOULTAN HACHIM AHMED AL-TAI
64,HIKMAT MIZBAN IBRAHIM AL-AZZAWI
